hari_ke,tanggal_lengkap,cabe_rawit_merah,lag_1,lag_3,lag_7,ma_7
323,2023-11-19,78000.0,78000.0,78000.0,72000.0,76428.57142857143
324,2023-11-20,90000.0,78000.0,78000.0,73000.0,78857.14285714286
325,2023-11-21,95000.0,90000.0,78000.0,75000.0,81714.28571428571
326,2023-11-22,85000.0,95000.0,78000.0,75000.0,83142.85714285714
327,2023-11-23,90000.0,85000.0,90000.0,78000.0,84857.14285714286
328,2023-11-24,80000.0,90000.0,95000.0,78000.0,85142.85714285714
329,2023-11-25,80000.0,80000.0,85000.0,78000.0,85428.57142857143
330,2023-11-26,80000.0,80000.0,90000.0,78000.0,85714.28571428571
331,2023-11-27,80000.0,80000.0,80000.0,90000.0,84285.71428571429
332,2023-11-28,80000.0,80000.0,80000.0,95000.0,82142.85714285714
333,2023-11-29,82000.0,80000.0,80000.0,85000.0,81714.28571428571
334,2023-11-30,80000.0,82000.0,80000.0,90000.0,80285.71428571429
335,2023-12-01,80000.0,80000.0,80000.0,80000.0,80285.71428571429
336,2023-12-02,80000.0,80000.0,82000.0,80000.0,80285.71428571429
337,2023-12-03,80000.0,80000.0,80000.0,80000.0,80285.71428571429
338,2023-12-04,83000.0,80000.0,80000.0,80000.0,80714.28571428571
339,2023-12-05,85000.0,83000.0,80000.0,80000.0,81428.57142857143
340,2023-12-06,85000.0,85000.0,80000.0,82000.0,81857.14285714286
341,2023-12-07,85000.0,85000.0,83000.0,80000.0,82571.42857142857
342,2023-12-08,85000.0,85000.0,85000.0,80000.0,83285.71428571429
343,2023-12-09,85000.0,85000.0,85000.0,80000.0,84000.0
344,2023-12-10,85000.0,85000.0,85000.0,80000.0,84714.28571428571
345,2023-12-11,85000.0,85000.0,85000.0,83000.0,85000.0
346,2023-12-12,85000.0,85000.0,85000.0,85000.0,85000.0
347,2023-12-13,88000.0,85000.0,85000.0,85000.0,85428.57142857143
348,2023-12-14,88000.0,88000.0,85000.0,85000.0,85857.14285714286
349,2023-12-15,75000.0,88000.0,85000.0,85000.0,84428.57142857143
350,2023-12-16,75000.0,75000.0,88000.0,85000.0,83000.0
351,2023-12-17,75000.0,75000.0,88000.0,85000.0,81571.42857142857
352,2023-12-18,75000.0,75000.0,75000.0,85000.0,80142.85714285714
353,2023-12-19,75000.0,75000.0,75000.0,85000.0,78714.28571428571
354,2023-12-20,73000.0,75000.0,75000.0,88000.0,76571.42857142857
355,2023-12-21,73000.0,73000.0,75000.0,88000.0,74428.57142857143
356,2023-12-22,70000.0,73000.0,75000.0,75000.0,73714.28571428571
357,2023-12-23,70000.0,70000.0,73000.0,75000.0,73000.0
358,2023-12-24,70000.0,70000.0,73000.0,75000.0,72285.71428571429
359,2023-12-25,70000.0,70000.0,70000.0,75000.0,71571.42857142857
360,2023-12-26,70000.0,70000.0,70000.0,75000.0,70857.14285714286
361,2023-12-27,70000.0,70000.0,70000.0,73000.0,70428.57142857143
362,2023-12-28,70000.0,70000.0,70000.0,73000.0,70000.0
363,2023-12-29,70000.0,70000.0,70000.0,70000.0,70000.0
364,2023-12-30,75000.0,70000.0,70000.0,70000.0,70714.28571428571
365,2023-12-31,70000.0,75000.0,70000.0,70000.0,70714.28571428571
366,2024-01-01,40000.0,70000.0,70000.0,70000.0,66428.57142857143
